"uni_lemma","item_definition"
"man","man"
"mommy","mommy*"
"nurse","nurse"
"child's own name","child's own name"
"people","people"
"person","person"
"pet's name","pet's name"
"police","police"
"sister","sister"
"teacher","teacher"
"uncle","uncle"
"bath","bath"
"breakfast","breakfast"
"bye","bye"
"call","call (on phone)"
"dinner","dinner"
"give me five","give me five!"
"gonna get you","gonna get you!"
"go potty","go potty"
"hello","hello"
"hi","hi"
"lunch","lunch"
"nap","nap"
"good night","night night"
"no","no"
"pattycake","pattycake"
"peekaboo","peekaboo"
"please","please"
"shh","shh/shush/hush"
"shopping","shopping"
"snack","snack"
"so big","so big!"
"thank you","thank you"
"this little piggy","this little piggy"
"turn around","turn around"
"yes","yes"
"bite","bite"
"blow","blow"
"break","break"
"bring","bring"
"build","build"
"bump","bump"
"buy","buy"
"carry","carry"
"catch","catch"
"chase","chase"
"clap","clap"
"clean (action)","clean (action)"
"climb","climb"
"close","close"
"cook","cook"
"cover (action)","cover"
"cry","cry"
"cut","cut"
"dance","dance"
"draw","draw"
"drink (action)","drink (action)"
"drive","drive"
"drop","drop"
"dry (action)","dry (action)"
"dump","dump"
"eat","eat"
"fall","fall"
"feed","feed"
"find","find"
"finish","finish"
"fit","fit"
"fix","fix"
"get","get"
"give","give"
"go","go"
"hate","hate"
"have","have"
"hear","hear"
"help","help"
"hide","hide"
"hit","hit"
"hold","hold"
"hug","hug"
"hurry","hurry"
"jump","jump"
"kick","kick"
"kiss","kiss"
"knock","knock"
"lick","lick"
"like","like"
"listen","listen"
"look","look"
"love","love"
"make","make"
"open (action)","open"
"paint (action)","paint"
"pick","pick"
"play","play"
"pour","pour"
"pretend","pretend"
"pull","pull"
"push","push"
"put","put"
"read","read"
"ride","ride"
"rip","rip"
"run","run"
"say","say"
"see","see"
"shake","shake"
"share","share"
"show","show"
"sing","sing"
"sit","sit"
"skate (action)","skate"
"sleep","sleep"
"slide (action)","slide (action)"
"smile","smile"
"spill","spill"
"splash","splash"
"stand","stand"
"stay","stay"
"stop","stop"
"sweep","sweep"
"swim","swim"
"swing (action)","swing (action)"
"take","take"
"talk","talk"
"taste","taste"
"tear","tear"
"think","think"
"throw","throw"
"tickle","tickle"
"touch","touch"
"wait","wait"
"wake","wake"
"walk","walk"
"wash","wash"
"watch (action)","watch (action)"
"wipe","wipe"
"wish","wish"
"work (action)","work (action)"
"write","write"
"all gone","all gone"
"asleep","asleep"
"awake","awake"
"bad","bad"
"better","better"
"big","big"
"black","black"
"blue","blue"
"broken","broken"
"brown","brown"
"careful","careful"
"clean (description)","clean (description)"
"cold","cold"
"cute","cute"
"dark","dark"
"dirty","dirty"
"dry (description)","dry (description)"
"empty","empty"
"fast","fast"
"fine","fine"
"first","first"
"full","full"
"gentle","gentle"
"good","good"
"green","green"
"happy","happy"
"hard","hard"
"heavy","heavy"
"high","high"
"hot","hot"
"hungry","hungry"
"hurt (description)","hurt"
"last","last"
"little (description)","little (description)"
"long","long"
"loud","loud"
"mad","mad"
"naughty","naughty"
"new","new"
"nice","nice"
"noisy","noisy"
"old","old"
"orange (description)","orange (description)"
"poor","poor"
"pretty","pretty"
"quiet","quiet"
"red","red"
"sad","sad"
"scared","scared"
"sick","sick"
"sleepy","sleepy"
"slow","slow"
"soft","soft"
"sticky","sticky"
"stuck","stuck"
"thirsty","thirsty"
"tiny","tiny"
"tired","tired"
"wet (description)","wet"
"white","white"
"windy","windy"
"yellow","yellow"
"yucky","yucky"
"after","after"
"before","before"
"day","day"
"later","later"
"morning","morning"
"night","night"
"now","now"
"time","time"
"today","today"
"tomorrow","tomorrow"
"tonight","tonight"
"yesterday","yesterday"
"3SG.POSS","he"
"3SG.POSS","her"
"3SG.POSS","hers"
"3SG","him"
"3SG.POSS","his"
"1SG","I"
"3SG","it"
"1SG","me"
"1SG.POSS","mine"
"1SG.POSS","my"
"1SG.REFL","myself"
"1PL.POSS","our"
"3SG","she"
"that","that"
"3PL.POSS","their"
"3PL","them"
"these","these"
"3PL","they"
"this","this"
"those","those"
"1PL","us"
"1PL","we"
"2SG","you"
"2SG.POSS","your"
"2SG.REFL","yourself"
"how","how"
"what","what"
"when (question)","when"
"where (question)","where"
"which (question)","which"
"who","who"
"why","why"
"about","about"
"above","above"
"around","around"
"at","at"
"away","away"
"back (location)","back"
"behind","behind"
"beside","beside"
"by","by"
"down","down"
"for","for"
"here","here"
"in","inside/in"
"into","into"
"next to","next to"
"of","of"
"off","off"
"on","on"
"on top of","on top of"
"out","out"
"over","over"
"there","there"
"to","to"
"under","under"
"up","up"
"with","with"
"a","a"
"all","all"
"a lot","a lot"
"a","an"
"another","another"
"any","any"
"each","each"
"every","every"
"more","more"
"much","much"
"none","none"
"not","not"
"other","other"
"same","same"
"some","some"
"the","the"
"too","too"
"am","am"
"are","are"
"be","be"
"can (auxiliary)","can (auxiliary)"
"could","could"
"did","did/did ya"
"do","do"
"does","does"
"don't","don't"
"gonna","gonna/going to"
"gotta","gotta/got to"
"have to","hafta/have to"
"is","is"
"lemme","lemme/let me"
"need","need/need to"
"try","try/try to"
"wanna","wanna/want to"
"was","was"
"were","were"
"will","will"
"would","would"
"and","and"
"because","because"
"but","but"
"if","if"
"so","so"
"then","then"
