"uni_lemma","item_definition"
"off","off"
"on","on"
"out","out"
"there","there"
"under","under"
"up","up"
"all","all"
"another","another"
"more","more"
"none","none"
"not","not"
"other","other"
"same","same"
"some","some"
